Player,Pos,Squad,Age,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xA,A-xA,KP,1/3,PPA,CrsPA,Prog,SCA,SCA90,PassLive,PassDead,Drib,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,Drib,Sh,Fld,Def,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Past,Press,Succ,%,Def 3rd,Mid 3rd,Att 3rd,Blocks,Sh,ShSv,Pass,Int,Tkl+Int,Clr,Err
Patrick van Aanholt,0.1,Crystal Palace,28,27.9,3.0,26.0,5.0,19.2,0.93,0.18,0.08,0.4,21.0,3.0,1.0,1.0,2.4,1.6,0.06,0.6,0.4,1227.0,1558.0,78.8,21251.0,9280.0,578.0,647.0,89.3,521.0,634.0,82.2,112.0,221.0,50.7,2.0,3.2,-1.2,32.0,86.0,25.0,5.0,129.0,62.0,2.23,32.0,23.0,3.0,2.0,2.0,0.0,5.0,0.18,3.0,1.0,1.0,0.0,0.0,0.0,51.0,32.0,33.0,16.0,2.0,22.0,54.0,40.7,32.0,267.0,74.0,27.7,159.0,71.0,37.0,57.0,13.0,1.0,44.0,23.0,74.0,67.0,3.0
Max Aarons,0.1,Norwich City,19,36.0,0.0,14.0,4.0,28.6,0.39,0.11,0.0,0.0,17.8,0.0,0.0,0.0,0.5,0.5,0.04,-0.5,-0.5,1316.0,1684.0,78.1,20293.0,6834.0,733.0,820.0,89.4,475.0,596.0,79.7,78.0,174.0,44.8,1.0,3.4,-2.4,24.0,43.0,32.0,13.0,77.0,55.0,1.53,42.0,2.0,3.0,3.0,4.0,1.0,3.0,0.08,1.0,1.0,0.0,0.0,1.0,0.0,64.0,36.0,40.0,17.0,7.0,21.0,45.0,46.7,24.0,487.0,132.0,27.1,283.0,142.0,62.0,100.0,30.0,2.0,70.0,20.0,84.0,86.0,0.0
Yunis Abdelhamid,0.1,Reims,31,28.0,3.0,19.0,5.0,26.3,0.68,0.18,0.16,0.6,14.2,0.0,0.0,0.0,1.4,1.4,0.07,1.6,1.6,1328.0,1515.0,87.7,29509.0,9037.0,331.0,355.0,93.2,715.0,777.0,92.0,273.0,360.0,75.8,0.0,0.1,-0.1,2.0,45.0,3.0,0.0,80.0,16.0,0.57,11.0,0.0,0.0,4.0,1.0,0.0,1.0,0.04,1.0,0.0,0.0,0.0,0.0,0.0,61.0,37.0,43.0,16.0,2.0,14.0,28.0,50.0,14.0,299.0,111.0,37.1,189.0,97.0,13.0,43.0,19.0,0.0,24.0,24.0,85.0,166.0,1.0
Suleiman Abdullahi,0.25,Union Berlin,22,1.7,1.0,6.0,3.0,50.0,3.44,1.72,0.17,0.33,17.2,0.0,0.0,0.0,1.3,1.3,0.21,-0.3,-0.3,18.0,40.0,45.0,316.0,132.0,12.0,20.0,60.0,4.0,12.0,33.3,2.0,3.0,66.7,0.0,0.2,-0.2,1.0,2.0,2.0,1.0,3.0,2.0,1.15,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,3.0,33.3,2.0,25.0,9.0,36.0,9.0,11.0,5.0,3.0,1.0,0.0,2.0,1.0,2.0,2.0,0.0
Mehdi Abeid,0.2,Nantes,26,20.2,1.0,33.0,7.0,21.2,1.63,0.35,0.03,0.14,25.0,3.0,0.0,0.0,1.6,1.6,0.05,-0.6,-0.6,801.0,957.0,83.7,14642.0,3851.0,365.0,395.0,92.4,337.0,368.0,91.6,93.0,173.0,53.8,2.0,1.4,0.6,26.0,85.0,6.0,4.0,58.0,46.0,2.28,27.0,14.0,1.0,2.0,1.0,1.0,4.0,0.2,2.0,1.0,0.0,1.0,0.0,0.0,60.0,41.0,24.0,34.0,2.0,24.0,62.0,38.7,38.0,417.0,114.0,27.3,121.0,234.0,62.0,18.0,3.0,0.0,15.0,17.0,77.0,22.0,0.0
Charles Abi,0.3,Saint Etienne,19,6.9,0.0,5.0,0.0,0.0,0.72,0.0,0.0,0,14.9,0.0,0.0,0.0,0.2,0.2,0.05,-0.2,-0.2,74.0,132.0,56.1,1085.0,199.0,38.0,66.0,57.6,23.0,37.0,62.2,4.0,8.0,50.0,0.0,1.1,-1.1,5.0,5.0,2.0,0.0,8.0,12.0,1.73,8.0,0.0,0.0,0.0,4.0,0.0,1.0,0.14,0.0,0.0,0.0,0.0,1.0,0.0,10.0,8.0,3.0,5.0,2.0,3.0,11.0,27.3,8.0,181.0,53.0,29.3,5.0,86.0,90.0,1.0,0.0,0.0,1.0,4.0,14.0,5.0,0.0
David Abraham,0.1,Eint Frankfurt,33,18.8,2.0,7.0,4.0,57.1,0.37,0.21,0.29,0.5,7.7,0.0,0.0,0.0,1.4,1.4,0.2,0.6,0.6,742.0,896.0,82.8,16639.0,6079.0,199.0,231.0,86.1,388.0,438.0,88.6,149.0,211.0,70.6,0.0,0.1,-0.1,2.0,75.0,7.0,0.0,100.0,11.0,0.59,10.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,22.0,18.0,10.0,2.0,16.0,34.0,47.1,18.0,200.0,75.0,37.5,109.0,78.0,13.0,32.0,15.0,1.0,17.0,16.0,46.0,87.0,1.0
Tammy Abraham,0.3,Chelsea,21,24.6,15.0,88.0,35.0,39.8,3.58,1.42,0.17,0.43,11.1,0.0,0.0,0.0,14.1,14.1,0.16,0.9,0.9,288.0,412.0,69.9,4213.0,811.0,159.0,222.0,71.6,77.0,101.0,76.2,26.0,35.0,74.3,3.0,2.5,0.5,18.0,16.0,5.0,0.0,31.0,49.0,1.99,33.0,0.0,5.0,6.0,2.0,3.0,9.0,0.37,4.0,0.0,2.0,2.0,1.0,0.0,14.0,10.0,4.0,5.0,5.0,4.0,16.0,25.0,12.0,430.0,130.0,30.2,19.0,170.0,241.0,24.0,6.0,0.0,18.0,5.0,19.0,26.0,0.0
Amir Abrashi,0.2,Freiburg,29,7.4,0.0,5.0,2.0,40.0,0.68,0.27,0.0,0.0,20.2,0.0,0.0,0.0,0.4,0.4,0.07,-0.4,-0.4,298.0,342.0,87.1,4705.0,1028.0,148.0,165.0,89.7,123.0,130.0,94.6,16.0,25.0,64.0,0.0,0.1,-0.1,4.0,19.0,5.0,3.0,21.0,10.0,1.36,8.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,13.0,11.0,11.0,1.0,7.0,17.0,41.2,10.0,164.0,41.0,25.0,68.0,82.0,14.0,19.0,3.0,0.0,16.0,8.0,31.0,15.0,1.0
Francesco Acerbi,0.1,Lazio,31,35.1,2.0,17.0,7.0,41.2,0.48,0.2,0.12,0.29,13.4,0.0,0.0,0.0,2.0,2.0,0.12,0.0,0.0,1809.0,2011.0,90.0,41350.0,12495.0,519.0,558.0,93.0,884.0,937.0,94.3,390.0,481.0,81.1,2.0,1.6,0.4,7.0,138.0,14.0,3.0,119.0,27.0,0.77,24.0,0.0,1.0,1.0,1.0,0.0,3.0,0.09,3.0,0.0,0.0,0.0,0.0,0.0,52.0,33.0,36.0,10.0,6.0,13.0,26.0,50.0,13.0,320.0,115.0,35.9,213.0,81.0,26.0,61.0,30.0,0.0,31.0,28.0,80.0,165.0,2.0
