Squad,Country,LgR,GF,GA,GD,xG,xGA,xGD,xGD/90
 Manchester City,1,1,99,26,+73,89.0,27.2,+61.9,+1.63
 Liverpool,1,2,94,26,+68,89.2,34.3,+55.0,+1.45
 Bayern Munich,4,1,97,37,+60,88.1,37.1,+51.0,+1.50
 Paris S G,5,1,90,36,+54,76.5,38.6,+37.9,+1.00
 Real Madrid,2,1,80,31,+49,74.4,46.8,+27.6,+0.73
 Milan,3,1,69,31,+38,63.1,34.8,+28.3,+0.74
 Inter,3,2,84,32,+52,81.4,39.2,+42.2,+1.11
 Napoli,3,3,74,31,+43,59.4,31.9,+27.6,+0.73
 Dortmund,4,2,85,52,+33,62.8,43.2,+19.6,+0.58
 Chelsea,1,3,76,33,+43,67.2,36.0,+31.3,+0.82
 Barcelona,2,2,68,38,+30,62.1,36.0,+26.1,+0.69
 Leverkusen,4,3,80,47,+33,63.3,43.1,+20.2,+0.59
 Tottenham,1,4,69,40,+29,65.1,39.4,+25.8,+0.68
 Marseille,5,2,63,38,+25,59.2,40.0,+19.1,+0.50
 Atletico Madrid,2,3,65,43,+22,52.8,33.7,+19.1,+0.50
 Sevilla,2,4,53,30,+23,43.5,38.5,+5.0,+0.13
 Juventus,3,4,57,37,+20,51.5,38.0,+13.4,+0.35
 Monaco,5,3,65,40,+25,58.0,42.0,+16.0,+0.42
 Arsenal,1,5,61,48,+13,59.9,47.1,+12.8,+0.34
 Rennes,5,4,82,40,+42,62.3,40.7,+21.6,+0.57
 Nice,5,5,52,36,+16,57.0,45.2,+11.8,+0.31
 RB Leipzig,4,4,72,37,+35,63.4,41.8,+21.6,+0.64
 Betis,2,5,62,40,+22,55.2,44.3,+10.9,+0.29
 Lazio,3,5,77,58,+19,55.8,48.3,+7.6,+0.20
 Union Berlin,4,5,50,44,+6,50.5,41.6,+8.8,+0.26
 Strasbourg,5,6,60,43,+17,59.3,42.6,+16.8,+0.44
