Player,Pos,Squad,Age,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp.1,Att.1,Cmp%.1,Cmp.2,Att.2,Cmp%.2,Cmp.3,Att.3,Cmp%.3,Ast,xA,A-xA,KP,1/3,PPA,CrsPA,Prog,SCA,SCA90,PassLive,PassDead,Drib,Sh.1,Fld,Def,GCA,GCA90,PassLive.1,PassDead.1,Drib.1,Sh.2,Fld.1,Def.1,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl.1,Att.4,Tkl%,Past,Press,Succ,%,Def 3rd.1,Mid 3rd.1,Att 3rd.1,Blocks,Sh.3,ShSv,Pass,Int,Tkl+Int,Clr,Err,Cl_Squad,Cl_Country,Cl_LgR,Cl_GF,Cl_GA,Cl_GD,Cl_xG,Cl_xGA,Cl_xGD,Cl_xGD/90,Start_Value,Value_Change
Charles Abi,0.3,Saint Etienne,19,6.9,0.0,5.0,0.0,0.0,0.72,0.0,0.0,0.0,14.9,0.0,0.0,0.0,0.2,0.2,0.05,-0.2,-0.2,74.0,132.0,56.1,1085.0,199.0,38.0,66.0,57.6,23.0,37.0,62.2,4.0,8.0,50.0,0.0,1.1,-1.1,5.0,5.0,2.0,0.0,8.0,12.0,1.73,8.0,0.0,0.0,0.0,4.0,0.0,1.0,0.14,0.0,0.0,0.0,0.0,1.0,0.0,10.0,8.0,3.0,5.0,2.0,3.0,11.0,27.3,8.0,181.0,53.0,29.3,5.0,86.0,90.0,1.0,0.0,0.0,1.0,4.0,14.0,5.0,0.0, Saint Etienne,5,17,29,45,-16,28.9,35.4,-6.4,-0.23,0.45,1.8
Tammy Abraham,0.3,Chelsea,21,24.6,15.0,88.0,35.0,39.8,3.58,1.42,0.17,0.43,11.1,0.0,0.0,0.0,14.1,14.1,0.16,0.9,0.9,288.0,412.0,69.9,4213.0,811.0,159.0,222.0,71.6,77.0,101.0,76.2,26.0,35.0,74.3,3.0,2.5,0.5,18.0,16.0,5.0,0.0,31.0,49.0,1.99,33.0,0.0,5.0,6.0,2.0,3.0,9.0,0.37,4.0,0.0,2.0,2.0,1.0,0.0,14.0,10.0,4.0,5.0,5.0,4.0,16.0,25.0,12.0,430.0,130.0,30.2,19.0,170.0,241.0,24.0,6.0,0.0,18.0,5.0,19.0,26.0,0.0, Chelsea,1,4,69,54,15,66.6,37.8,28.7,0.76,28.8,36.0
Che Adams,0.3,Southampton,23,12.3,4.0,37.0,9.0,24.3,3.0,0.73,0.11,0.44,15.2,0.0,0.0,0.0,4.0,4.0,0.11,0.0,0.0,184.0,265.0,69.4,2931.0,631.0,96.0,124.0,77.4,66.0,91.0,72.5,12.0,24.0,50.0,2.0,1.2,0.8,11.0,12.0,3.0,0.0,19.0,25.0,2.03,15.0,0.0,3.0,2.0,4.0,1.0,5.0,0.41,2.0,0.0,1.0,0.0,2.0,0.0,8.0,6.0,2.0,4.0,2.0,0.0,5.0,0.0,5.0,231.0,58.0,25.1,9.0,97.0,125.0,10.0,1.0,0.0,9.0,3.0,11.0,10.0,0.0, Southampton,1,11,51,60,-9,53.7,53.1,0.7,0.02,10.8,10.8
Sargis Adamyan,0.25,Hoffenheim,26,8.3,5.0,20.0,10.0,50.0,2.41,1.21,0.25,0.5,11.3,0.0,0.0,0.0,4.1,4.1,0.2,0.9,0.9,140.0,191.0,73.3,2008.0,429.0,90.0,110.0,81.8,40.0,54.0,74.1,6.0,11.0,54.5,1.0,0.9,0.1,7.0,5.0,4.0,2.0,13.0,20.0,2.41,16.0,0.0,1.0,1.0,2.0,0.0,4.0,0.48,3.0,0.0,0.0,0.0,1.0,0.0,10.0,4.0,2.0,5.0,3.0,4.0,24.0,16.7,20.0,209.0,45.0,21.5,33.0,93.0,83.0,5.0,1.0,0.0,4.0,3.0,13.0,5.0,0.0, Hoffenheim,4,6,53,53,0,49.9,51.8,-2.0,-0.06,2.7,3.6
Yacine Adli,0.25,Bordeaux,19,11.3,3.0,18.0,6.0,33.3,1.59,0.53,0.17,0.5,23.1,1.0,0.0,0.0,0.9,0.9,0.05,2.1,2.1,460.0,581.0,79.2,8419.0,1963.0,216.0,250.0,86.4,178.0,215.0,82.8,59.0,99.0,59.6,3.0,2.0,1.0,18.0,50.0,7.0,0.0,54.0,38.0,3.35,25.0,5.0,4.0,2.0,1.0,1.0,7.0,0.62,3.0,1.0,2.0,1.0,0.0,0.0,27.0,18.0,6.0,15.0,6.0,10.0,31.0,32.3,21.0,328.0,86.0,26.2,72.0,166.0,90.0,11.0,0.0,0.0,11.0,9.0,36.0,4.0,0.0, Bordeaux,5,12,40,34,6,29.7,33.3,-3.6,-0.13,4.95,5.67
Kevin Agudelo,0.25,Genoa,20,7.4,1.0,10.0,2.0,20.0,1.35,0.27,0.1,0.5,16.7,0.0,0.0,0.0,1.1,1.1,0.11,-0.1,-0.1,245.0,301.0,81.4,3840.0,902.0,132.0,151.0,87.4,84.0,95.0,88.4,20.0,33.0,60.6,1.0,1.2,-0.2,11.0,20.0,5.0,0.0,17.0,31.0,4.19,21.0,0.0,5.0,0.0,1.0,4.0,2.0,0.27,1.0,0.0,0.0,0.0,0.0,1.0,25.0,18.0,12.0,10.0,3.0,10.0,26.0,38.5,16.0,217.0,46.0,21.2,72.0,109.0,36.0,12.0,1.0,0.0,11.0,6.0,31.0,3.0,0.0, Genoa,3,17,47,73,-26,47.4,59.2,-11.8,-0.31,0.225,3.15
Sergio Aguero,0.3,Manchester City,31,16.1,16.0,73.0,25.0,34.2,4.52,1.55,0.19,0.56,12.9,0.0,2.0,3.0,14.1,11.9,0.16,1.9,2.1,285.0,368.0,77.4,3774.0,793.0,173.0,210.0,82.4,82.0,105.0,78.1,11.0,13.0,84.6,3.0,2.4,0.6,16.0,12.0,20.0,0.0,32.0,51.0,3.16,28.0,0.0,9.0,9.0,5.0,0.0,8.0,0.5,4.0,0.0,1.0,2.0,1.0,0.0,7.0,5.0,0.0,4.0,3.0,1.0,6.0,16.7,5.0,226.0,56.0,24.8,13.0,77.0,136.0,15.0,2.0,0.0,13.0,2.0,9.0,3.0,0.0, Manchester City,1,2,102,35,67,93.1,34.8,58.3,1.54,58.5,46.8
Ludovic Ajorque,0.3,Strasbourg,25,22.9,8.0,44.0,18.0,40.9,1.92,0.79,0.16,0.39,13.0,0.0,1.0,1.0,6.2,5.4,0.12,1.8,1.6,371.0,509.0,72.9,5863.0,927.0,199.0,252.0,79.0,127.0,177.0,71.8,33.0,52.0,63.5,4.0,3.0,1.0,14.0,15.0,12.0,4.0,27.0,36.0,1.57,27.0,0.0,3.0,3.0,2.0,1.0,10.0,0.44,6.0,0.0,1.0,1.0,2.0,0.0,18.0,14.0,3.0,13.0,2.0,3.0,19.0,15.8,16.0,280.0,75.0,26.8,20.0,145.0,115.0,11.0,2.0,0.0,9.0,3.0,21.0,23.0,0.0, Strasbourg,5,10,32,32,0,35.0,30.8,4.2,0.16,3.6,6.12
Chadrac Akolo,0.25,Amiens,24,6.0,2.0,9.0,4.0,44.4,1.49,0.66,0.22,0.5,19.1,0.0,0.0,0.0,1.1,1.1,0.13,0.9,0.9,172.0,206.0,83.5,2703.0,811.0,88.0,98.0,89.8,70.0,83.0,84.3,8.0,14.0,57.1,1.0,1.2,-0.2,5.0,15.0,2.0,0.0,26.0,17.0,2.81,9.0,0.0,2.0,2.0,1.0,3.0,4.0,0.66,1.0,0.0,1.0,1.0,0.0,1.0,17.0,13.0,7.0,7.0,3.0,3.0,17.0,17.6,14.0,140.0,43.0,30.7,40.0,71.0,29.0,8.0,1.0,0.0,7.0,5.0,22.0,4.0,0.0, Amiens,5,19,31,50,-19,26.7,35.4,-8.7,-0.31,1.8,1.44
Lucas Alario,0.3,Leverkusen,26,13.0,7.0,47.0,18.0,38.3,3.6,1.38,0.13,0.33,11.7,0.0,1.0,1.0,7.1,6.3,0.13,-0.1,-0.3,227.0,308.0,73.7,3353.0,375.0,132.0,177.0,74.6,60.0,75.0,80.0,18.0,24.0,75.0,1.0,2.1,-1.1,15.0,6.0,9.0,0.0,13.0,29.0,2.22,21.0,0.0,2.0,6.0,0.0,0.0,2.0,0.15,1.0,0.0,0.0,1.0,0.0,0.0,7.0,2.0,1.0,3.0,3.0,3.0,10.0,30.0,7.0,185.0,51.0,27.6,5.0,72.0,108.0,9.0,2.0,0.0,7.0,2.0,9.0,5.0,0.0, Leverkusen,4,5,61,44,17,56.6,45.1,11.5,0.34,15.3,12.15
