Player,Pos,Squad,Age,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp.1,Att.1,Cmp%.1,Cmp.2,Att.2,Cmp%.2,Cmp.3,Att.3,Cmp%.3,Ast,xA,A-xA,KP,1/3,PPA,CrsPA,Prog,SCA,SCA90,PassLive,PassDead,Drib,Sh.1,Fld,Def,GCA,GCA90,PassLive.1,PassDead.1,Drib.1,Sh.2,Fld.1,Def.1,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl.1,Att.4,Tkl%,Past,Press,Succ,%,Def 3rd.1,Mid 3rd.1,Att 3rd.1,Blocks,Sh.3,ShSv,Pass,Int,Tkl+Int,Clr,Err,Cl_Squad,Cl_Country,Cl_LgR,Cl_GF,Cl_GA,Cl_GD,Cl_xG,Cl_xGA,Cl_xGD,Cl_xGD/90,Start_Value,Value_Change
Mehdi Abeid,0.2,Nantes,26,20.2,1.0,33.0,7.0,21.2,1.63,0.35,0.03,0.14,25.0,3.0,0.0,0.0,1.6,1.6,0.05,-0.6,-0.6,801.0,957.0,83.7,14642.0,3851.0,365.0,395.0,92.4,337.0,368.0,91.6,93.0,173.0,53.8,2.0,1.4,0.6,26.0,85.0,6.0,4.0,58.0,46.0,2.28,27.0,14.0,1.0,2.0,1.0,1.0,4.0,0.2,2.0,1.0,0.0,1.0,0.0,0.0,60.0,41.0,24.0,34.0,2.0,24.0,62.0,38.7,38.0,417.0,114.0,27.3,121.0,234.0,62.0,18.0,3.0,0.0,15.0,17.0,77.0,22.0,0.0, Nantes,5,13,28,31,-3,27.7,33.5,-5.8,-0.21,1.58,1.8
Amir Abrashi,0.2,Freiburg,29,7.4,0.0,5.0,2.0,40.0,0.68,0.27,0.0,0.0,20.2,0.0,0.0,0.0,0.4,0.4,0.07,-0.4,-0.4,298.0,342.0,87.1,4705.0,1028.0,148.0,165.0,89.7,123.0,130.0,94.6,16.0,25.0,64.0,0.0,0.1,-0.1,4.0,19.0,5.0,3.0,21.0,10.0,1.36,8.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,13.0,11.0,11.0,1.0,7.0,17.0,41.2,10.0,164.0,41.0,25.0,68.0,82.0,14.0,19.0,3.0,0.0,16.0,8.0,31.0,15.0,1.0, Freiburg,4,8,48,47,1,41.7,61.0,-19.2,-0.57,2.25,1.44
Tyler Adams,0.15,RB Leipzig,20,10.6,0.0,7.0,1.0,14.3,0.66,0.09,0.0,0.0,17.1,0.0,0.0,0.0,0.4,0.4,0.06,-0.4,-0.4,595.0,699.0,85.1,9793.0,2653.0,292.0,325.0,89.8,242.0,276.0,87.7,49.0,69.0,71.0,0.0,0.5,-0.5,6.0,30.0,8.0,2.0,38.0,18.0,1.7,14.0,1.0,0.0,2.0,1.0,0.0,2.0,0.19,1.0,0.0,0.0,0.0,1.0,0.0,23.0,12.0,13.0,8.0,2.0,9.0,30.0,30.0,21.0,194.0,60.0,30.9,79.0,88.0,27.0,22.0,1.0,0.0,21.0,7.0,30.0,16.0,0.0, RB Leipzig,4,3,81,37,44,71.0,36.2,34.8,1.02,11.7,12.6
Jean Eudes Aholou,0.2,Saint Etienne,25,7.0,1.0,10.0,4.0,40.0,1.43,0.57,0.1,0.25,16.7,0.0,0.0,0.0,0.8,0.8,0.08,0.2,0.2,262.0,313.0,83.7,4836.0,831.0,103.0,118.0,87.3,122.0,135.0,90.4,32.0,50.0,64.0,1.0,0.1,0.9,3.0,17.0,0.0,0.0,20.0,12.0,1.71,7.0,0.0,1.0,0.0,1.0,3.0,1.0,0.14,0.0,0.0,0.0,0.0,0.0,1.0,21.0,19.0,6.0,13.0,2.0,4.0,11.0,36.4,7.0,148.0,57.0,38.5,25.0,103.0,20.0,8.0,1.0,0.0,7.0,12.0,33.0,13.0,0.0, Saint Etienne,5,17,29,45,-16,28.9,35.4,-6.4,-0.23,6.3,3.6
Youssef Ait Bennasser,0.2,Bordeaux,23,6.0,0.0,2.0,0.0,0.0,0.34,0.0,0.0,0.0,31.6,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,357.0,413.0,86.4,6250.0,1555.0,172.0,188.0,91.5,149.0,163.0,91.4,35.0,52.0,67.3,1.0,0.1,0.9,4.0,28.0,3.0,0.0,38.0,8.0,1.34,8.0,0.0,0.0,0.0,0.0,0.0,2.0,0.34,2.0,0.0,0.0,0.0,0.0,0.0,11.0,7.0,7.0,4.0,0.0,2.0,25.0,8.0,23.0,164.0,48.0,29.3,41.0,108.0,15.0,12.0,2.0,0.0,10.0,5.0,16.0,7.0,0.0, Bordeaux,5,12,40,34,6,29.7,33.3,-3.6,-0.13,6.3,4.32
Marc Albrighton,0.15,Leicester City,29,9.6,0.0,10.0,2.0,20.0,1.04,0.21,0.0,0.0,20.7,0.0,0.0,0.0,0.6,0.6,0.06,-0.6,-0.6,344.0,507.0,67.9,6189.0,2444.0,176.0,207.0,85.0,116.0,154.0,75.3,46.0,115.0,40.0,3.0,2.0,1.0,18.0,31.0,20.0,9.0,50.0,26.0,2.7,22.0,2.0,1.0,1.0,0.0,0.0,5.0,0.52,5.0,0.0,0.0,0.0,0.0,0.0,23.0,11.0,11.0,11.0,1.0,7.0,29.0,24.1,22.0,191.0,65.0,34.0,46.0,94.0,51.0,18.0,1.0,0.0,17.0,9.0,32.0,7.0,0.0, Leicester City,1,5,67,41,26,61.6,44.5,17.1,0.45,9.0,7.2
Ruben Alcaraz,0.2,Valladolid,28,21.4,2.0,33.0,8.0,24.2,1.54,0.37,0.06,0.25,25.7,9.0,0.0,0.0,1.6,1.6,0.05,0.4,0.4,831.0,1059.0,78.5,19154.0,4979.0,254.0,295.0,86.1,380.0,425.0,89.4,186.0,300.0,62.0,2.0,0.8,1.2,14.0,95.0,4.0,1.0,72.0,44.0,2.06,24.0,6.0,5.0,4.0,5.0,0.0,4.0,0.19,4.0,0.0,0.0,0.0,0.0,0.0,59.0,36.0,34.0,20.0,5.0,23.0,61.0,37.7,38.0,444.0,130.0,29.3,184.0,232.0,28.0,57.0,20.0,0.0,37.0,16.0,75.0,68.0,0.0, Valladolid,2,13,32,43,-11,35.5,46.3,-10.8,-0.28,9.0,7.2
Steven Alzate,0.15,Brighton,20,13.2,0.0,13.0,3.0,23.1,0.98,0.23,0.0,0.0,16.8,0.0,0.0,0.0,1.2,1.2,0.09,-1.2,-1.2,564.0,664.0,84.9,8968.0,2602.0,292.0,326.0,89.6,233.0,268.0,86.9,28.0,42.0,66.7,0.0,0.7,-0.7,13.0,32.0,16.0,2.0,56.0,30.0,2.27,22.0,0.0,5.0,2.0,1.0,0.0,1.0,0.08,0.0,0.0,0.0,0.0,1.0,0.0,28.0,23.0,23.0,3.0,2.0,10.0,22.0,45.5,12.0,235.0,77.0,32.8,99.0,94.0,42.0,26.0,3.0,0.0,23.0,10.0,38.0,14.0,0.0, Brighton,1,15,39,54,-15,41.2,54.5,-13.3,-0.35,22.5,2.069999
Ibrahim Amadou,0.2,Leganes,26,8.6,0.0,4.0,0.0,0.0,0.47,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.4,0.4,0.09,-0.4,-0.4,231.0,292.0,79.1,3864.0,785.0,116.0,139.0,83.5,94.0,112.0,83.9,17.0,29.0,58.6,0.0,0.0,0.0,1.0,17.0,1.0,1.0,14.0,2.0,0.23,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,9.0,7.0,9.0,0.0,3.0,10.0,30.0,7.0,161.0,42.0,26.1,53.0,90.0,18.0,7.0,0.0,0.0,7.0,5.0,21.0,8.0,0.0, Leganes,2,18,30,51,-21,37.3,39.0,-1.7,-0.04,6.3,4.95
Ibrahim Amadou,0.15,Norwich City,26,8.4,0.0,6.0,1.0,16.7,0.71,0.12,0.0,0.0,16.5,0.0,0.0,0.0,1.0,1.0,0.16,-1.0,-1.0,310.0,361.0,85.9,6355.0,1786.0,94.0,109.0,86.2,169.0,182.0,92.9,45.0,64.0,70.3,0.0,0.0,0.0,1.0,14.0,1.0,0.0,11.0,1.0,0.12,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,7.0,12.0,8.0,1.0,3.0,11.0,27.3,8.0,107.0,26.0,24.3,64.0,40.0,3.0,8.0,6.0,0.0,2.0,11.0,32.0,58.0,1.0, Norwich City,1,20,26,75,-49,38.0,61.9,-23.9,-0.63,6.3,4.95
